route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"6043","1","F81","Al Qusais Ind'l Area Terminus 1 - Al Nahda MS","3","FFC000","000000"
"6044","1","F23","Stadium MS - Al Nahda Terminus","3","FFC000","000000"
"6045","1","F47","Danube MS - DIP 2","3","FFC000","000000"
"6046","1","F61","Al Rashidiya Bus Stn - Al Warqa'a","3","FFC000","000000"
"6047","1","F34","DIC MS - Dubai Production City","3","FFC000","000000"
"6048","1","F37","MOE MS - Sports City","3","FFC000","000000"
"6050","1","F36","MOE MS - Arjan","3","FFC000","000000"
"6051","1","F70","Oud Metha Bus Stn - Dubai Museum","3","FFC000","000000"
"6052","1","F56","DIC MS - Al Khail MS","3","FFC000","000000"
"6053","1","F45","Al Furjan - Discovery Gardens","3","FFC000","000000"
"6054","1","F50","DIP MS - DIP 2","3","FFC000","000000"
"6055","1","F51","DIP MS - DIP 1","3","FFC000","000000"
"6056","1","F49","Danube MS - Jebel Ali Industrial Area","3","FFC000","000000"
"6058","1","F27","Al Jafiliya Bus Stn - Al Satwa","3","FFC000","000000"
"61","1","61","Al Ghubaiba Bus Stn - Ras Al Khor Samari Residence","3","FFC000","000000"
"62","1","62","Al Qusais Ind'l Area 5 - Ras Al Khor Vegetable Market","3","FFC000","000000"
"64","1","64","Gold Souq Bus Stn - Ras Al Khor","3","FFC000","000000"
"66","1","66","Al Ghubaiba Bus Stn - Al Faqa","3","FFC000","000000"
"67","1","67","Al Ghubaiba Bus Stn - Dubai Endurance City","3","FFC000","000000"
"7","1","7","Al Quoz, Bus Stn -  Al Satwa","3","FFC000","000000"
"77","1","77","Baniyas MS - Al Garhoud, RTA HQ","3","FFC000","000000"
"8","1","8","Al Baraha Bus Stn  - Ibn Battuta MS","3","FFC000","000000"
"81","1","81","The Dubai Mall - MOEMS","3","FFC000","000000"
"83","1","83","Al Ghubaiba Bus Stn - Al Khail MS","3","FFC000","000000"
"84","1","84","Al Khail Gate - Jumeirah Beach Residence Station","3","FFC000","000000"
"88","1","88","Deira City Center Bus Stn - Dubai Internet City MS","3","FFC000","000000"
"9","1","9","Al Ghubaiba Bus Stn - Business Bay MS","3","FFC000","000000"
"91","1","91","Al Ghubaiba Bus Stn - Jebel Ali Bus Stn","3","FFC000","000000"
"93","1","93","Al Ghubaiba Bus Stn - MOE MS","3","FFC000","000000"
"95","1","95","Al Baraha Bus Stn - Jebel Ali Waterfront Labour Ca","3","FFC000","000000"
"96","1","96","Al Quoz Bus Stn - DIP","3","FFC000","000000"
"97","1","97","Al Qusais Bus Stn - Jebel Ali Ind'l Area 7","3","FFC000","000000"
"99","1","99","Jebel Ali Bus Stn - UAE Exchange MS","3","FFC000","000000"
