table_name,field_name,language,translation,record_id
stops,stop_name,ar,محطة المترو_الحدائق 1,18101
stops,stop_name,ar,محطة المترو_الحدائق 2,18102
stops,stop_name,ar,محطة المترو_ديسكفري جاردنز 1,18201
stops,stop_name,ar,محطة المترو_ديسكفري جاردنز 2,18202
stops,stop_name,ar,محطة المترو_الفرجان 1,18301
stops,stop_name,ar,محطة المترو_الفرجان 2,18302
stops,stop_name,ar,محطة المترو_عقارات جميرا للجولف 1,18401
stops,stop_name,ar,محطة المترو_عقارات جميرا للجولف 2,18402
stops,stop_name,ar,محطة المترو_مجمع دبي للاستثمار 1,18501
stops,stop_name,ar,محطة المترو_مجمع دبي للاستثمار 2,18502
stops,stop_name,ar,محطة المترو_إكسبو 1,18701
stops,stop_name,ar,محطة المترو_إكسبو 2,18702
stops,stop_name,ar,أبراج شاطئ جميرا 1,21401
stops,stop_name,ar,أبراج شاطئ جميرا 2,21501
stops,stop_name,ar,أبراج بحيرات جميرا1,21601
stops,stop_name,ar,أبراج بحيرات جميرا2,21602
stops,stop_name,ar,دبي مارينا مول,21701
stops,stop_name,ar,مرسى دبي1,21801
stops,stop_name,ar,مرسى دبي2,21802
stops,stop_name,ar,أبراج المارينا1,21901
stops,stop_name,ar,أبراج المارينا2,21902
stops,stop_name,ar,الميناء السياحي1,22001
stops,stop_name,ar,الميناء السياحي,22002
stops,stop_name,ar,مدينة دبي للإعلام1,22101
stops,stop_name,ar,مدينة دبي للإعلام2,22102
stops,stop_name,ar,نخلة جميرا1,22201
stops,stop_name,ar,نخلة جميرا2,22202
stops,stop_name,ar,قرية المعرفة1,22301
stops,stop_name,ar,قرية المعرفة2,22302
stops,stop_name,ar,الصفوح,22401
stops,stop_name,ar,الصفوح 2,22402
stops,stop_name,ar,محطة حافلات سوق الذهب 3,100003
stops,stop_name,ar,تقاطع نايف 1,112001
stops,stop_name,ar,النخل 1-2,137002
stops,stop_name,ar,محطة حافلات مترو الإتحاد 1-2,376502
stops,stop_name,ar,شارع المكتوم 1,143001
stops,stop_name,ar,شارع ام هرير - 1-1,429001
stops,stop_name,ar,محطة حافلات الجافلية 4,256104
stops,stop_name,ar,شارع الشيخ زايد 1-1 بدون توقف,999101
stops,stop_name,ar,شركة دبي للغاز الطبيعي المحدودة,649101
stops,stop_name,ar,البوابة الرئيسية جبل علي المنطقة الحرة 1,755001
stops,stop_name,ar,1 هيئة موانئ دبي مكتب المنطقة الحرة,756001
stops,stop_name,ar,جبل علي المنطقة الحرة دوار 5-1,758001
stops,stop_name,ar,سوني جبل علي المنطقة الحرة 1,757001
stops,stop_name,ar,جبل علي المنطقة الحرة دوار 6-1,760001
stops,stop_name,ar,مكاتب الايجار جبل علي المنطقة الحرة 5-1,746001
stops,stop_name,ar,نافكو جبل علي المنطقة الحرة 1,762001
stops,stop_name,ar,مصنع العبوات الزجاجية 1,761001
stops,stop_name,ar,مجموعة زاهر 1,765001
stops,stop_name,ar,كليفلاند لهندسة الجسور 1-1,763001
stops,stop_name,ar,كليفلاند لهندسة الجسور 2-1,764001
stops,stop_name,ar,جبل علي المنطقة الحرة دوار 8-1,766001
stops,stop_name,ar,مجموعة كانو – جبل علي المنطقة الحرة 1,731001
stops,stop_name,ar,جبل علي المنطقة الحرة دوار 12أ,733001
stops,stop_name,ar,جبل علي المنطقة الحرة دوار 12ب,733002
stops,stop_name,ar,مجموعة كانو – جبل علي المنطقة الحرة 2,731002
stops,stop_name,ar,سكن موظفي المنطقة الحرة 1,767001
stops,stop_name,ar,جلف دينم المحدودة 1,768001
stops,stop_name,ar,محطة حافلات جبل علي 3,773003
stops,stop_name,ar,جلف دينم المحدودة 2,768002
stops,stop_name,ar,سكن موظفي المنطقة الحرة 2,767002
stops,stop_name,ar,جبل علي المنطقة الحرة دوار 8-2,766002
stops,stop_name,ar,كليفلاند لهندسة الجسور 2-2,764002
stops,stop_name,ar,كليفلاند لهندسة الجسور 2-1,763002
stops,stop_name,ar,مجموعة زاهر 2,765002
stops,stop_name,ar,مصنع العبوات الزجاجية 2,761002
stops,stop_name,ar,نافكو جبل علي المنطقة الحرة 2,762002
stops,stop_name,ar,مكاتب الايجار جبل علي المنطقة الحرة 5-2,746002
stops,stop_name,ar,جبل علي المنطقة الحرة دوار 6-2,760002
stops,stop_name,ar,إيوا الخليج - المنطقة الحرة 2,759002
stops,stop_name,ar,سوني جبل علي المنطقة الحرة 2,757002
stops,stop_name,ar,هيئة موانئ دبي مكتب المنطقة الحرة 2,756002
stops,stop_name,ar,البوابة الرئيسية جبل علي المنطقة الحرة 2,755002
stops,stop_name,ar,شارع الشيخ زايد 1-2 بدون توقف,999102
stops,stop_name,ar,محطة حافلات مترو ماكس جهة الجنوب,131101
stops,stop_name,ar,شارع ام هرير - 1-2,429002
stops,stop_name,ar,شارع المكتوم 2,143002
stops,stop_name,ar,محطة حافلات مترو الإتحاد 1-1,376501
stops,stop_name,ar,النخل,136001
stops,stop_name,ar,تقاطع نايف 2,112002
stops,stop_name,ar,محطة حافلات جبل علي 4,773004
stops,stop_name,ar,محطة حافلات مترو الخليج التجاري جهة الجنوب,314101
stops,stop_name,ar,مركز بلدية الكرامة 2,424002
stops,stop_name,ar,محطة حافلات مترو برجمان 2-1,400001
stops,stop_name,ar,فندق فور بوينت شيرتون 2,388002
stops,stop_name,ar,محطة حافلات مترو شرف دي جي 3-1,203201
stops,stop_name,ar,محطة حافلات مترو شرف دي جي 1-2,202102
stops,stop_name,ar,شارع النهضة,407001
stops,stop_name,ar,الرفاعة 2,234102
stops,stop_name,ar,محطة حافلات الغبيبة 19,385019
stops,stop_name,ar,الرفاعة 1,392001
stops,stop_name,ar,الرولة,406001
stops,stop_name,ar,محطة حافلات مترو شرف دي جي 1-1,202101
stops,stop_name,ar,فندق فور بوينت شيرتون 1,388001
stops,stop_name,ar,مركز بلدية الكرامة 1,424001
stops,stop_name,ar,محطة حافلات مترو الخليج التجاري جهة الشمال,808501
stops,stop_name,ar,المزهر 1- محطة المسجد,209501
stops,stop_name,ar,المزهر 1 - هـ,208501
stops,stop_name,ar,المزهر 1 - جي 1,301501
stops,stop_name,ar,المزهر 1 - ف 2,206502
stops,stop_name,ar,المزهر 1 مركز أسواق 1,127101
stops,stop_name,ar,المزهر 1 - شارع الخرطوم 1,313101
stops,stop_name,ar,المزهر 1 - شارع الخرطوم 2,313102
stops,stop_name,ar,المزهر 1 مركز أسواق 2,127102
stops,stop_name,ar,المزهر المزهر مول 2,205502
stops,stop_name,ar,المزهر 1 - د 2,204502
stops,stop_name,ar,المزهر 1 - شارع 26 أ,296001
stops,stop_name,ar,"المزهر 1, العربي سنتر",234501
stops,stop_name,ar,محيصنة - مدرسة دبي الحديثة 2,402502
stops,stop_name,ar,شارع الجزائر 7-2,401502
stops,stop_name,ar,محيصنة 1 -أ1,991001
stops,stop_name,ar,محيصنة 1 -ب1,992001
stops,stop_name,ar,"المزهر، المدرسة الإسلامية 2",844502
stops,stop_name,ar,المحيصنة المدرسة الفليبينية 1,355201
stops,stop_name,ar,محيصنة 2 أكاديمية الأتصالات,126101
stops,stop_name,ar,المحيصنة المدرسة الفليبينية 2,355202
stops,stop_name,ar,شارع تونس - 1,875001
