name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,0,638359120,,55.285931,25.181576,,,,,
,1,95039334,,55.293861,25.182565,,,,,
,2,95041313,,55.293792,25.186467,,,,,
,3,1664582700,,55.288391,25.182892,,,,,
,4,1015938626,,55.259015,25.173635,,,,,
,5,5796503219,,55.265694,25.169974,,,,,
,6,9990891187,,55.262017,25.196063,,,,,
,7,117732807,,55.262797,25.195475,,,,,
,8,117752661,,55.253945,25.202566,,,,,
,9,117759956,,55.257438,25.200535,,,,,
,10,9974786487,,55.258211,25.200077,,,,,
,11,117759442,,55.257925,25.201237,,,,,
,12,117759959,,55.258283,25.201813,,,,,
,13,117759445,,55.257009,25.201754,,,,,
,14,9976907419,,55.259012,25.197824,,,,,
,15,117765914,,55.259327,25.198281,,,,,
,16,117765496,,55.259946,25.199161,,,,,
,17,117765256,,55.260402,25.199808,,,,,
,18,9976907358,,55.258362,25.198283,,,,,
,19,1854233738,,55.283263,25.180783,,,,,
,20,9929524045,,55.285138,25.181662,,,,,
,21,638356241,,55.286412,25.182829,,,,,
,22,4911210095,,55.256189,25.173839,,,,,
,23,1050179989,,55.257882,25.172540,,,,,
,24,1050180589,,55.258491,25.172082,,,,,
,25,8992874844,,55.260074,25.170872,,,,,
,26,647954726,,55.270582,25.172515,,,,,
,27,4886438435,,55.268098,25.170629,,,,,
,28,3966148438,,55.281705,25.204454,,,,,
,29,10068515714,,55.281741,25.204771,,,,,
,30,1121799643,,55.281757,25.205141,,,,,
,31,444995892,,55.282296,25.208448,,,,,
,32,10722966430,,55.281547,25.203440,,,,,
,33,10060736588,,55.284556,25.200193,,,,,
,34,1132269496,signal,55.284103,25.198230,,,,,
,35,265714794,,55.285097,25.202468,,,,,
,36,10060736642,,55.284854,25.202537,,,,,
,37,6446232949,,55.284775,25.202247,,,,,
,38,10060736643,,55.285006,25.202198,,,,,
,39,265714798,,55.284726,25.202350,,,,,
,40,6446232954,,55.284795,25.202506,,,,,
,41,6446232946,,55.285125,25.202411,,,,,
,42,10060736641,,55.285060,25.202227,,,,,
,43,266088436,,55.277948,25.201584,,,,,
,44,266088434,,55.278827,25.204303,,,,,
,45,1125079528,,55.278452,25.200628,,,,,
,46,605023878,,55.279082,25.199406,,,,,
,47,2751604784,,55.279330,25.194518,,,,,
,48,605012049,,55.279395,25.194504,,,,,
,49,605012042,,55.279514,25.194567,,,,,
,50,605023872,,55.278518,25.200067,,,,,
,51,11626228406,,55.278644,25.199497,,,,,
,52,1140037402,,55.293572,25.183057,,,,,
,53,638353572,,55.284503,25.182208,,,,,
,54,1664582692,,55.282942,25.181455,,,,,
,55,1140037242,,55.282886,25.181555,,,,,
,56,4762807700,,55.271718,25.172566,,,,,
,57,12039442349,,55.273579,25.174295,,,,,
,58,12039442352,,55.275958,25.176015,,,,,
,59,648477252,,55.277475,25.201352,,,,,
,60,9050058341,,55.277425,25.201271,,,,,
,61,1132287236,,55.276200,25.202228,,,,,
,62,1132287237,,55.270471,25.205101,,,,,
,63,1151485288,,55.277261,25.188401,,,,,
,64,4912982997,,55.276298,25.189442,,,,,
,65,95051170,,55.272902,25.203738,,,,,
,66,6061449281,,55.282193,25.198635,,,,,
,67,6061449282,,55.283367,25.197999,,,,,
,68,9007111774,,55.283783,25.197777,,,,,
,69,6061449280,,55.282343,25.198557,,,,,
,70,1125079474,,55.278234,25.200733,,,,,
,71,7083141815,,55.277939,25.200885,,,,,
,72,10068208810,,55.277851,25.200932,,,,,
,73,648477269,,55.277728,25.200997,,,,,
,74,1123405074,,55.274225,25.199403,,,,,
,75,1123405144,,55.272603,25.199959,,,,,
,76,5802343799,,55.272888,25.200449,,,,,
,77,927218798,,55.272189,25.201968,,,,,
,78,927218828,,55.273597,25.201601,,,,,
,79,5802335950,,55.272219,25.202019,,,,,
,80,5802335952,,55.271623,25.201764,,,,,
,81,4088974052,,55.271668,25.187627,,,,,
,82,3851764168,,55.271946,25.187943,,,,,
,83,4773398726,,55.272093,25.188093,,,,,
,84,647976535,,55.277869,25.201632,,,,,
,85,939451616,,55.272560,25.199301,,,,,
,86,939451620,,55.270094,25.199069,,,,,
,87,939451623,,55.269127,25.197302,,,,,
,88,939451603,,55.272538,25.199233,,,,,
,89,939463696,,55.257832,25.188356,,,,,
,90,4166868775,,55.257926,25.188211,,,,,
,91,9289371278,,55.258127,25.188418,,,,,
,92,939463692,,55.258112,25.188437,,,,,
,93,939463701,,55.258136,25.188283,,,,,
,94,2141205364,,55.260152,25.189995,,,,,
,95,939463938,,55.263117,25.189842,,,,,
,96,3852524812,,55.264886,25.190352,,,,,
,97,4768385720,,55.265889,25.191870,,,,,
