name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,10,148847094,,yes,,,,"POLYGON ((55.2694599 25.2046367, 55.2696779 25.2045134, 55.2698857 25.2048143, 55.2696677 25.2049375, 55.2694599 25.2046367))",POINT (55.26967280039686 25.204725466832194),,1
,11,165060565,,,,park,,"POLYGON ((55.2721547 25.201111, 55.271951 25.2007636, 55.2724223 25.2005375, 55.272626 25.2008848, 55.2721547 25.201111))",POINT (55.27228849282438 25.200824232044912),,1
,12,165060568,,,parking,,,"POLYGON ((55.2712737 25.2008807, 55.271002 25.2004144, 55.2710345 25.2003381, 55.2714034 25.2002051, 55.272204 25.1999164, 55.2724185 25.199986, 55.2725379 25.2001876, 55.2724105 25.2002465, 55.2723111 25.200072, 55.2716052 25.2004038, 55.2717499 25.2006566, 55.2712737 25.2008807))",POINT (55.27162221102942 25.200361827765718),,1
,13,165060570,,,parking,,,"POLYGON ((55.2716533 25.2015469, 55.2718533 25.2018708, 55.2719639 25.2019152, 55.2731583 25.2013527, 55.2731273 25.2012998, 55.2731114 25.2013066, 55.2730838 25.2012599, 55.2730199 25.2012901, 55.2723089 25.2016266, 55.2721313 25.2013212, 55.2716533 25.2015469))",POINT (55.27222381002338 25.201589509315895),,1
,14,181778763,,,,pitch,,"POLYGON ((55.2738583 25.1959392, 55.2739691 25.195923, 55.2739308 25.1957083, 55.27382 25.1957245, 55.2738583 25.1959392))",POINT (55.273894549999994 25.19582375),,1
,15,181778765,,,,pitch,,"POLYGON ((55.2737117 25.1959752, 55.2738196 25.1959474, 55.2737541 25.1957392, 55.2736462 25.195767, 55.2737117 25.1959752))",POINT (55.2737329 25.195857200000006),,1
Millenium Tower,16,203296254,,yes,,,,"POLYGON ((55.2656183 25.194793, 55.2658937 25.1950893, 55.2661356 25.1948974, 55.2658676 25.1945943, 55.2656183 25.194793))",POINT (55.26587810966763 25.19484266955854),,1
Standpoint Residences - Downtown - Emaar,17,203296256,,residential,,,,"POLYGON ((55.2704635 25.1962667, 55.2705667 25.1965525, 55.2706846 25.1968063, 55.2707944 25.1970123, 55.2709285 25.1971889, 55.2711725 25.1969865, 55.2713147 25.1967805, 55.2713635 25.1965414, 55.27133 25.1962069, 55.2712937 25.1960583, 55.2704635 25.1962667))",POINT (55.270968911404694 25.196560951235465),,1
,18,237261086,,,,park,,"POLYGON ((55.2740079 25.201339, 55.2737946 25.200973, 55.2742888 25.2007372, 55.2745021 25.2011032, 55.2740079 25.201339))",POINT (55.27414835000001 25.201038100000005),,1
JW Marriott Marquis Hotel,19,238284905,,hotel,,,,"POLYGON ((55.2581149 25.1860487, 55.2580812 25.1860122, 55.2577018 25.1855932, 55.2576861 25.1855722, 55.2576559 25.1855112, 55.2576327 25.1854412, 55.2576186 25.1853549, 55.2576245 25.1852749, 55.257641 25.1852176, 55.2576771 25.1851539, 55.2577299 25.1851799, 55.2577824 25.1851771, 55.2578419 25.1851403, 55.2579674 25.18522, 55.258473 25.1857779, 55.2586601 25.1860458, 55.2586162 25.186083, 55.2586025 25.1861289, 55.2586224 25.1861916, 55.2585434 25.1862057, 55.2584696 25.1862069, 55.2583893 25.1861986, 55.2582961 25.1861764, 55.2582171 25.1861401, 55.2581654 25.1861037, 55.2581149 25.1860487))",POINT (55.25810649290404 25.18569709171406),,1
Cinema Parking Dubai Mall,20,240462845,,,parking,,,"POLYGON ((55.2815918 25.1976488, 55.279596 25.1949865, 55.2806151 25.1944365, 55.2820374 25.196549, 55.2817393 25.1967142, 55.2818413 25.1968666, 55.2820842 25.1967353, 55.2824072 25.1971878, 55.2815918 25.1976488))",POINT (55.28100982290951 25.196002582751866),,1
,21,242048648,,yes,,,,"POLYGON ((55.2590772 25.1726, 55.2593441 25.1729112, 55.2599775 25.1724663, 55.2597106 25.1721551, 55.2590772 25.1726))",POINT (55.259527350000006 25.172533150000003),,1
